AAR	Scare Marla badly (5)
CHOPIN	Romantic composer cut in (6)
CHOSE	Selected last of acrylic socks (5)
CHRISTO	Artist's rendition of ostrich (7)
CHRYSLER	Violinist played for automaker (8)
CHUM	Almost dupe pal (4)
CHUMP	Catch umpire covering mark (5)
CHURLISH	Rude church website is hit (8)
CIAO	Hello and goodbye from odd characters in Chicago (4)
CIGAR	Craig rolled a smoke (5)
CINDERELLA	Victim of child abuse recalled in novel (10)
CIRCA	Caller ID routing changes automated introductions around (5)
CISTERCIAN	Well, going round about Iowa with a member of a white brotherhood... (10)
CITATIONS	Tickets complicate its action (9)
CITE	Refer to scene in audition (4)
CITRONELLA	Insect repellant found in stock of E. & H. Allen or T. I. Carson (back ordered) (10)
CKGEUOSRIC	[5]; Role in Shakespeare company with IRS returns (5)
CLAM	Calm, composed, quiet type (4)
CLAMPING	Imposing stick carries measure of electricity (8)
CLANDESTINELY	Secretly include railroad in family future (13)
CLARINET	Playing clear tin instrument (8)
CLARINET	Playing clear, tin musical instrument (8)
CLARINETS	Plastic canister filled with fifty licorice sticks (9)
CLASPS	Tightly holds one hundred fifty snakes (6)
CLASSICAL	Celtic lass I calmed with a kind of music (9)
CLASSIEST	Most urbane, snobby about elite's leader (9)
CLAUSE	Hearing nails legal proviso (6)
CLEANED	One hundred listed as "washed up" (7)
CLEANSE	Can eels freely bathe? (7)
CLEANSE	Leans inside empty case to scrub (7)
CLEFT	Split with head of church and quit (5)
CLEMENS	American storyteller captures 150 English men before Sunday (7)
CLEO	Business leader has left the Queen of Egypt (4)
CLEVELAND	City flat is swamped by sweets, almost (9)
CLIENT	Eastwood holding premiere of "Escape" for patron (6)
CLIENT	User of Sony PDA with Windows OS (6)
CLIMATIC	Claim nervous tic is weather related (8)
CLIMB	Shinny up and start to cut branch (5)
CLOCKWORKS	Lock and weight part of float's inner mechanisms (10)
CLONED	Copied only in CD (6)
CLOSE	Get up to speak and wrap up (5)
CLOSER	Cold and stiff relief pitcher (6)
CLOSER	Without it, cloister is more intimate (6)
CLOSERS	Ninth inning pitchers: 100 guys who can't win? (7)
CLOSEUP	Couples posed for an intimate snapshot (5-2)
CLOTHE	Confused letch grabs doughnut for cover (6)
CLOTHE	Wrap portable bed around large male (6)
CLOUDY	Gloomy century followed by vibrant year (6)
CLUE	The odd ones within collude to give this sentence, as an example? (4)
CLUTCH	Group hug (6)
COALESCE	Commingle with a splash of Pimlico ale scent  (8)
COARSE	Rough road by the sound of it (6)
COARSE	Vulgar subject overheard (6)
COASTAL	Kiln in western state, near the shore (7)
COASTS	Cold oven on Saturday is running on empty (6)
COAX	Persuade company to cut back (4)
COBBLED	Hastily patched up, swan felt pain (7)
COCHLEA	Ach, Cole wrecked something in the ear (7)
COCOA	Stucco coating camouflages brown shade (5)
CODICES	Doctor returns, secures ancient manuscripts (7)
COHESION	Union raising racket near company hospital (8)
COHESIVE	Merging into one company, riches reduced by half, lives diminished on both sides (8)
COHORTS	Bands of salmon on way south (7)
COHOS	Almost all choose fresh salmon (5)
COIN	Company with popular mint (4)
COLANDER	Someone who comes to earth with another kitchen implement? (8)
COLEUSES	Mr. Porter employs showy flowers (8)
COLLARED	Caught cold real bad (8)
COLONEL	Commanding officer is a roll call nut (7)
COLONEL	Military grade substance in a report (7)
COLONELS	Army officers with stuff to pop in the microwave audibly (8)
COLONY	Group of settlers in western state (west of New York) (6)
COLOSSAL	Huge Christmas gift for brat handling loss (8)
COLOSSAL	Huge decrease in energy source (8)
COLT	Young horse left in bed (4)
COLUMBINE	Thresher snags denuded blue flower (9)
COMBAT	Search thoroughly at battle (6)
COMEDIC	Laughable doctor's assistant? (7)
COMET	Out of Draco, meteor's a celestial visitor (5)
COMMAND	Order man held by company doctor (7)
COMMONLAW	Judges made this committee cut lawn around Monday (6,3)
COMPACT	Succinct contract (7)
COMPLIMENTS	Regards counterparts in audition (11)
COMPORT	Intercom portended no East-West accord (7)
COMPORTMENT	Remark describing sailor's base behavior (11)
COMRADES	Comes to accept radical Bolsheviks (8)
CONCEAL	Titanic, once alerted, hugs harbor (7)
CONCEALS	Camouflages formerly among Coolidge's (8)
CONCEDEDLY	Admittedly displaying excessive self-importance to a reporter (10)
CONCEIT	Colorado and North Carolina tie up arrogance (7)
CONCEIVES	Once taking part in wild vices, becomes pregnant (9)
CONDONE	Pardon felon; it's over (7)
CONDUCTOR	Big Bird has cut off music director (9)
CONE	Tip of cue touches yellow ball (solid) (4)
CONES	Volcano tops 100-1 odds at last (5)
CONESTOGA	Ice cream containers to Georgia in wagon (9)
CONETIQUETTE	Jailbirds' good behavior with flirt includes bad nite? (3,9)(11)
CONFERS	Talks with no one amongst evergreens (7)
CONFIRMS	Approves of fiddle companies (8)
CONJUNCT	Opposed project accommodating North Carolina joint (8)
CONNED	Studied Chad (6)
CONS	Studies jailbirds' scams (4)
CONSCIOUS	After company, disturbed cousins may be awake (9)
CONSENTS	Acquiesces in dispersing no scents (9)
CONSIGN	Send inmates free gin (7)
CONSISTENT	Sis wears comfortable uniform (10)
CONSTABLE	Cop is studying flat surface (9)
CONSTABLE	Wire fences on street for lawman (9)
CONSTABLES	British police paintings (10)
CONSTELLATION	Fools give away leaderless land to a bunch of stars (13)
CONTAIN	Lunatic I cannot house (7)
CONTEMPLATION	Working on mental topic? (13)
CONTEMPT	Lack of respect for new employee hired for short term service in bed (8)
CONTRADICT	Belize princess breaks legal agreement (10)
CONTRADICTIONS	Customs seizing small amount of cocaine after prisoner's incongruous statements (14)
CONUNDRUM	Creature of habit goes in to pay upon receipt of drink?  It's puzzling. (9)
CONUNDRUM	Question prisoner and German spirit (9)
CONVERGE	Meet, then lie to neighbor (8)
CONVEX	Transfer group to protect Navy (6)
COOPT	Appropriate work in relaxing place (2-3)
COPASETIC	No problem to deal with puritan on the radio (9)
COPENHAGEN	City cop enclosed ugly old woman? (10)
COPPERS	Policemen with pennies (7)
COPSE	We heard police in some woods (5)
COPYRIGHT	Gory pitch worked as protection for maker (9)
CORDAGE	Eliminate center, with mild oath, put back in wood pile (7)
CORDON	100 or 500 on police line (6)
CORE	Outspoken group's essential (4)
CORKS	Stops up by sculptured rocks (5)
CORN	Trite jokes: somewhat comedic or not? (4)
CORNERS	Traps public officials with no heart (7)
CORNETIST	In C, tritones blown by Satchmo, e.g. (9)
CORRAL	Contain coal in railroad?  Just the opposite! (6)
CORRODE	Eat with company, drive by the Sound (7)
CORRUPTER	Cru report about Socrates vis-à-vis youth (9)
CORSET	Escort resorted to control (6)
COSINE	Reportedly provide collateral ratio (6)
COSMONAUT	A space station resident violated US Moon Act (9)
COSTARI	Selection from "Zydeco Star I: Cajun Country" (5,4)
COSTARICA	One of two leading actors edges away from vicar in a small country (5,4)
COSTARICAN	Central American person sharing the limelight on 1 May (5,5)
COTERIE	Cobra, for example, that is softly slipping out of fraternity (7)
COTTAGE	Little house, little bed, broken gate (7)
COTTAGE	Small bed put out by the front of every house (7)
COTTON	Puma, for one, to run back and forth in empty canyon (6)
COUCHPOTATO	Put hot cocoa out for someone glued to the TV (5,6)
COUNCIL	Assembly said Dracula's sick (7)
COUNSEL	Advice on clues to be anagrammed (7)
COUPLETS	Heroic lines on famous golfer holding tee (8)
COUPS	Master strokes and coos in your ear (5)
COVET	No right to secret desire (5)
COVETS	Is jealous of company veterans (6)
COWARD	Fight between fish and chicken (6)
COWED	Frightened University lass grabs Fellow's butt (5)
COYOTE	Returned little toy octopus, keeping a furry animal (6)
CPA	Tax expert set cap (3)
CRACKDOWN	Drug stock average gets new regulatory attention (9)
CRACKUP	Wreck plastic cup rack (5-2)
CRAFT	Make an average float (5)
CRAM	Grape remains on the rise in jam (4)
CRAMP	River dividing tent grounds is kind of a pain (5)
CRANIUM	Administered dose of vitamin (between 100 and 1000) in head (7)
CRANKPI	Curt initially operated strange pink handle used for turning (8)
CRANSTON	Narc returning with tons upset Rhode Island town (8)
CRATER	Boxer's big impact scar? (6)
CRAVE	Need credit on the Street (5)
CRAWL	Creep closer to girl, fight cold back (5)
CRAWL	Write carelessly after introduction to creep (5)
CREAMER	Hard-hit line drive loses opener for pitcher (7)
CREASES	Legendary rich guy gets called, then folds (7)
CREASES	Without a bit of Retin-A, stops wrinkles (7)
CREATE	Old car keeps excellent shape (6)
CREATE	Put the last bit of lettuce into a box for produce (6)
CREATE	Rough wooden box holds Faberge's final design (6)
CREATIONS	Fools, swallowing, eat first of indigestible products (9)
CREATOR	Left without representation, copyright property seller! (7)
CREATURAL	Pertaining to animals captured primarily down in backwood (9)
CREDO	Belief in C-notes? (5)
CREDO	Carefully examines faith (5)
CREDO	Company adopts Marxist tenet (5)
CREDO	Sacred oratorio includes statement of belief (5)
CREE	Short manifesto for Native American group (4)
CREED	Indian chief of devout faith (5)
CREED	It's believed to be average grass (5)
CREED	Staffed without Western religion (5)
CREEKS	Small streams of squeaking sounds if you listen (6)
CREEPS	Feeling of horror passes slowly (6)
CREEPS	Sneaks addendum past Indian tribe (6)
CREMATED	Somewhat mediocre mate deservedly incinerated (8)
CREMEDEMENTHE	(5 2 6): INDICT MORAL (4 7); DHMMNR
CREPE	Batter creep with pancake (5)
CREPE	Heretic repented, holding tissue (5)
CREPE	Return of twelve percent, reveals paper (5)
CREPE	The percolator, repulsively, contains a pancake (5)
CREPT	Moved slowly, taking every other curved path (5)
CREPUSCULERW	Right before dark find pancake-eating American and most of cult? (10); [2]
CRETE	Found missing article in Greek island (5)
CRIMEWAVE	Big problem for police: one kitten's crying in hunger (5,4)
CRISES	Hollers about small emergencies (6)
CRISIS	Emergency credit is doubled (6)
CRITERIA	Erratic, I revised standards (8)
CRITIC	Judge's nervous movement following a trio of crimes (6)
CRITIC	Movie reviewer causes rude interruption to inspiring celebrities' beginnings (6)
CRITTER	Yeller eats two steak bones as Elly May's pet (7)
CROC	Arrested aquatic reptile?  Sounds like a lot of nonsense (4)
CROMAGNON	Heard Italian city in canyon is from the stone age, perhaps (3-6)
CROMAGNON	Old man's low moan about every other mean gent (3-6)
CRONY	PAL: part of acronym (5)
CROON	Pacino or Crowe? Insider returns to sing like Der Bingle (5)
CROQUET	Bad quote following credit game (7)
CROQUET	Run brutal quote after coach's first game (7)
CRU	Left three-fifths of bottle on table for wine class (3)
CRUET	Small vessel's oarsmen had food in the Sound (5)
CRUISE	Take it easy - our group is essentially peaceable (6)
CRUSADES	Drives used cars recklessly (8)
CRUSHABLE	Limbaugh, getting into cable, is liable to be overwhelmed (9)
CRUSOE	Sailor off course (6)
CRY	Call initially communicates real yearning (3)
CRYOSTAT	Device for maintaining sub-zero temperatures breaks toy carts (8)
CRYPT	Burial chamber from Keen Point (5)
CRYPT	Cry at point where they were last seen together? (5)
CRYPT	Oddly corny spot in tomb (5)
CRYPTANALYSIS	Grave study: code-breaking? (13)
CRYPTIC	Enigmatic appeal by poor jerk (7)
CRYSTALLIZATION	Call pair of stars, Franken and Burton, with a note on how diamonds are made (15)
CUBED	Cut Chicago ballplayer's training? (5)
CUDGELS	Batters consisting of partially digested food and semi-solids (7)
CULMINATE	Bring to a close with, "Lunatic?  Me?  Lunatic?!" (9)
CURACAO	Liqueur rumored to heal foot-and-mouth disease among pigs? (7)
CURATE	Clergyman arranging a truce (6)
CURB	Restrain mutt at commencement of barking (4)
CURBSTONE	Unsophisticated, unruly bouncer circles street (9)
CURRENTLY	Curry contains gentle essence now (9)
CURSE	Swear to smoke outside Sean's van (5)
CURSED	Cruised around after I left and shouted expletives (6)
CURSIVE	Dog finally completes one volume, with excellent handwriting (7)
CURTAIL	Cut short what a mutt wags? (7)
CUSHION	Starts to cry upon smelling Heather's incense on Nathan's pillow (7)
CUSPS	Mugs grabbing one of Satchmo's horns (5)
CUSTARD	Bob almost captures "Ratatouille" characters on the way back for dessert (7)
CUSTOM	Habit peculiar to scum (6)
CUSTOMER	Prompter interrupted by most unusual client (8)
CUTIE	Doll part, that is (5)
CUTTHROAT	Court that wrongly executed an assassin (9)
CYCLIST	Rider in Confederacy's last two campaigns, primarily by inclination (7)
CYCLONE	A couple of cyborgs mechanically replicate tornado (7)
CYLINDERE	Lyric ended, misfiring like an engine with pistons (10)
CYNIC	Fancy nickname intrigues skeptic (5)
CYNICISM	Doubt return of New York City sado-mashochism around here in France (8)
CYST	Fleecy staphylococcus surrounding blister (4)
CZECH	European King's threat reported (5)
CZECHS	State arrests some Europeans (6)
DADA	Pop art movement of the 1920s? (4)
DADS	Fathers in Democrat spots (4)
DAFFY	Duck down as filler for your caps... (5)
DAHLIA	Reverse of flag bore large showy flower (6)
DAILYBREAD	At hearing, Chicago's mayor raised subject of Christian prayer (5,5)
DALLAS	Girl almost follows guy back to place in Texas (6)
DALLAS	Sal, boy, goes west to the cowboys' hometown (6)
DAMAGES	Compensation check matures (7)
DAMAGES	Ruins a beaver's work before long (7)
DAMASKS	Prosecutor conceals lustrous fabrics (7)
DAMSEL	Young lady blocks railroad tracks in suspense (6)
DAMSEL	Young woman blocks train (6)
DANGER	Indignation is beneath front-runner in Double Jeopardy (6)
DANGER	Risk contamination of garden (6)
DANGEROUS	Suspicious nag, roused, is apt to make trouble (9)
DANGLER	After first of December, fisherman is lurer (7)
DAPPLE	Spot last bit of spotted fruit (6)
DAPPLES	Spots some baked apple squares (7)
DARED	Challenged Ruby after district attorney (5)
DARESAY	Venture to comment, "War God stands in light" (7)
DARN	Mend? Doggone it (4)
DARTS	Turns violin over to get pointers? (5)
DASHBOARD	Convertible has odd bar in instrument panel (9)
DASHER	Vixen's teammate is pass maker for MD (6)
DASTARD	Cur curses miserable setback? (7)
DASTARDLY	Team's outstanding player goes onto Disabled List. It's all in a day, but really low (9)
DATA	Updatable cache! (4)
DATABASE	AAA's debt lost in recording system (8)
DATED	Old-fashioned pastor has dined inside (5)
DATED	Saw palm down (5)
DATES	Orchard at estate produces fruit (5)
DAUNT	Cow in tundra is bizarre; it has no right (5)
DAUNT	Subdue aunt, chasing Chief of Detectives (5)
DAUNTLESS	Very brave, Dorothy's starting without Em perhaps? (9)
DAWNING	Beginning of understanding December 1st cover (7)
DAYDREAM	Ready-made mix without a bit of effort -- wishful thinking (8)
DEACON	Narcs study cleric (6)
DEADEND	Demanded getting rear of aquarium removed and then remodeled with no way out (4,3)
DEADEND	Narcs study crackhead's ultimate road to nowhere (4,3)
DEADLOCKS	Ties braids without ribbons at the front (9)
DEARABBY	Bea Brady edited an advice column (4,4)
DEATH	Famine, after resistance is eliminated, causes loss of life (5)
DEBASED	Shameful young lady making her entrance in the manner of a talking horse (7)
DEBATE	Argue with society girl at tea-break (6)
DEBATED	"The head of administration is in debt," Ed argued (7)
DEBAUCHERY	Excited, Huey braced for wild carousing (10)
DEBRA	Ms. Messing to remove underwear? (5)
DEBUNKING	Pathetically beg nudnik for exposé (9)
DEBUT	Start to remove conjunctions? (5)
DEBUTS	Busted crackers at upper crust parties (6)
DECAL	Beat-up windshield sticker perhaps (5)
DECAL	Transfer from Delaware to California (5)
DECEASED	Legal document obscures strange case of one who died (8)
DECEIT	A 'humbug' is that creature appearing after the first half of December (6)
DECELERATING	The winery ranking broadcast is proceeding ever slower (12)
DECIPHER	Discover the secret of rich, deep goulash (8)
DECO	Unscramble code to find design, movement (4)
DECODED	Deciphered ownership document about food fish (7)
DECOR	Procedures, taken the other way, supply ambiance  (5)
DECORUM	Furniture style improper for formality (7)
DECREMENT	Drop in rent keeping me housed after last month (9)
DECREPIT	Stranger cried, "Pet's on his last legs!" (8)
DEDARG	Leveled off in coolheaded arguments (6)
DEDICATED	Died terribly - ate in.  CD inscribed in affection (9)
DEDNECSA	Rose, focused at last, in study starting to evaluate the South (8)
DEED	Act up and down (4)
DEEMED	Judged me in action (6)
DEEP	Urinated into the wind? Heavy. (4)
DEEPSOUTH	Crank up front half of outhouse in Alabama, for example (4-5)
DEFACE	Paint grafitti with fed-up professional (6)
DEFENSELESSNESS	Flees; senses send strange inability to fight back (15)
DEFINITEARTICLE	The louse, initially, by attention and a quirk of speech, interrupted pervert  (8 7)
DEFINITION	Note: I find I improved sharpness of image (10)
DEFOE	Slangily, hip old English author (5)
DEFORESTED	Treeless? Woods indeed (10)
DEFROST	A button on the microwave belongs to berets or fedoras, upon reflection (7)
DEFUSE	Feed us nuts and reduce the danger (6)
DEGAS	Remove bombast from French painter? (5)
DEGENERATES	The star of "Ellen" has at folks with substandard morals (11)
DEHYDRATED	Dried out thread, dyed inappropriately (10)
DEICING	Chinese leader welcomes French here in thaw (7)
DEIFIED	Facing in both directions, like Janus? (7)
DEIGN	Condescend to plan, ignoring first of suggestions (5)
DEKE	Fake lining inside kerchiefs (4)
DELAY	Hold up congressman ... (5)
DELAYED	Retarded, disgraced Congressman pursued by editor (7)
DELED	Done away with, one way or the other (5)
DELHI	Capital held somehow by leader of Iran (5)
DELIMITS	Actor Jimmy loses head after meat market draws the line (8)
DELIVER	Bring salvation to despised, rejected (7)
DELL	Glen's computer company (4)
DELPHI	Model philanthropist protects temple site (6)
DELTA	Delivered a spoken letter from Athens (5)
DELUDED	Deceived, died, dodged (7)
DEMANDS	Revise Ed's damn orders (7)
DEMARCATION	Democrat in a messy separation (11)
DEMEANS	Ridicules Sammy's intro after Dean holds me back (7)
DEMIURGE	Demi to press for creative power (8)
DEMOCRAT	Come from the Right, running into darn person on the Left (8)
DEMOCRATS	Smart coed disrupted party caucus (9)
DEMONIAC	Fiendish, but funny, comedian (8)
DEMONSTRATIVE	Open a sleazy joint on the outskirts of backward gold rush town with harlots' backing (13)
DENIM	Material extracted, sent back (5)
DENMARK	Funny men smothered in dismal country (7)
DENOTED	Not in action referred to (7)
DENSE	Dull nicks on a car, we hear (5)
DENTIST	Retreat is covered by Times canine expert? (7)
DENTISTS	It's wrong to be limited by impressions some may drill into you (8)
DENTURE	Forbidden tureen harbors biting thing that comes out at night (7)
DEOHCE	Repeated understanding expression for university in tie (6)
DEPARTURE	Taper rude, non-standard deviation (9)
DEPEND	Rely on part of pool without last of chlorine (6)
DEPLANE	Leave the cabin paneled with shakes (7)
DEPLETION	Pitcher's debut in strikeout is exhausting (9)
DEPOSAL	Left because newspaper commentary brought about ouster (7)
DEPOSIT	Bank's even keeping a bribe that's put up (7)
DEPOT	Drank up in station (5)
DEPOT	Had a lot of drinks (as usual) on the way up to station (5)
DEPOTS	Tyrants wiping out rebels' last storehouses (6)
DEPRTEE	Actress Sandra consumes last of the wine with one forced to leave (8)
DERIDES	Desired rotten insults (7)
DERRIERES	Heard songs about milk and cheese and buns? (9)
DESCENT	Kind about actress' latest step downward  (7)
DESERT	Tourists rested poorly in the Sahara. (6)
DESERVE	Worthy of being violently severed (7)
DESIDERATUM	I deem turds a regrettable necessity (11)
DESIRE	Longing to commit patricide? (6)
DESIRES	Wants Lucy's husband to retire shortly (7)
DESIST	To stop within Hades is terrible (6)
DESPAIRED	In the beginning, serpent and pair caught in act and lost hope (9)
DESPAIRED	Southern duo, caught in act, gave up hope (9)
DESPERADO	Cutthroat congressman's back in lifeless Ohio primary (9)
DESPOTS	Clears up blemishes of dictators? (7)
DESPOTS	Ruthless authorities dispersed Ed's stakes (7)
DESREVER	Overturned earner having change of heart (8)
DESSERT	Crunchy Frog, perhaps, enjoyed after dinner as a reward in your mouth (7)
DESSERT	Curled back at last course (7)
DESTINE	Intend to eat around the top of Eighth Street (7)
DESTROY	Do away with change in... in destiny:  To or fro (7)
DETAINEES	Drunk aide with fifth of Cointreau observed returning prisoners (9)
DETERGENT	Tide, for example, has to stop fellow (9)
DETERS	Drunk rested in bars (6)
DETERS	Prevents deers getting close to tent (6)
DETES	Hate examination following couple of delays (6)
DETESTS	Hates and gets rid of a Mensa entry requirement? (7)
DETESTS	Hates tryouts after core of idea is exposed  (7)
DETOUR	It can get you routed a different way! (6)
DETRACTS	Hauled back, Eliot takes away something (8)
DETRIMENT	Damage from depression takes time with onset of retirement (9)
DETRIMENT	Harm from dent encompassing front of exterior trim (9)
DEVELOP	Evolve from crude Velo predator (7)
DEVIANT	Freaky and tailless, Satan sits on worker (7)
DEVIL	Lucifer lived backward (5)
DEVIL	Old Nick was coming back (5)
DHCCGK	Slight hesitation with undergarments in the shadows (6)
DIAGNOSTIC	Analytical, double skeptic? (10)
DIAGRAM	Charm of Indian city in dusk (7)
DIAGRAMS	Plans for five hundred and one silver pile drivers (8)
DIALECT	A way of expressing oneself in remodeled citadel (7)
DIALOG	...redial: Ogden is holding a conversation (6)
DIALOG	Go back after call for heart-to-heart talk (6)
DIANA	Person of importance in Canadian arts (5)
DIAPER	Redressed backwards dressing for baby (6)
DIATRIBE	Trio of dialtones preceding family's abusive talk (8)
DICED	Gambled and lost drinking cup (5)
DICIEST	Least secure date most standoffish (7)
DICTATE	Depart with unusual tact and order (7)
DICTATE	I catted around, in demand (7)
DICTIONARY	A dry tonic I mixed, provides meaning (10)
DIEGO	Go-go artist Rivera (5)
DIESAWAY	After metalworking tool and woodworking tool, a club finally gets quieter (4,4)
DIESELS	Certain engines stall less jerkily (7)
DIESELS	Stops trains and big trucks (7)
DIETARY	Alien contributed to Journal of Nutrition (7)
DIGINTO	Newton committed to figure out research (3,4)
DIGIT	A number really enjoy "Hair"?  (5)
DIGITAL	Appreciate it: a large data format (7)
DIKES	Skied around protective barriers (5)
DILBERT	Strip of soil bearing large heads of Belgian endive (7)
DIMPLE	Depression is kind of stupid with topless maids about (6)
DINGO	It's an uproar to travel with wild dog (5)
DIOCESE	See poorly written comedies losing a chunk of money (7)
DIORAMA	Play has 10 miniature scenes (7)
DIPHTHONG	Maenad has one lower hot underwear (9)
DIPHTHONG	Two characters together, drunk, hit PhD on the third of August (9)
DIPLOMA	Mistakenly laid mop in sheepskin (7)
DIRAC	Physicist with Republican group in Washington (5)
DIRECT	Connecticut follows extremely urgent steer (6)
DIRER	Anger doctor internalizes is more serious (5)
DIRESTRAITS	Ceases running features about Republican in serious trouble (4,7)
DIRTY	Contaminated? I'd try boiling (5)
DISABLED	Useless fur lining carried out (8)
DISAPPEARS	Papers said "Alien Vanishes!" (10)
DISAVOW	Try to deny yod is a vowel intrinsically (7)
DISCERN	Rescind bad judge (7)
DISCIPLE	Student prepared sliced pie without effort (8)
DISCLOSE	Show record yield (8)
DISCLOSED	End is close, doctor surreptitiously revealed (9)
DISCLOSED	Exposed record to drop some data (9)
DISCLOSING	Record before suffering defeat is revealing (10)
DISCO	Dance form: one circle next to another (5)
DISCONTINUATION	Abandonment of Disco/Country Western Division admitted? (15)
DISCOURSE	Conversation to completely stop about scrubs (9)
DISCOURSE	Do cruises free verbal expression? (9)
DISCREDIT	Smear record colour - that one (9)
DISCRIMINATING	Particular record I'm in between evaluating (14)
DISCUS	Endlessly talk about Olympic event (6)
DISEASE	Disturbing seaside malady (7)
DISENCHANT	Turn off this canned broadcast (10)
DISFIGUREMENT	Defusing timer incorrectly can lead to this! (13)
DISGUISED	Hidden?  Did I guess wrong? (9)
DISHED	Served 500 with one drop (6)
DISINTEGRATE	Fall to pieces -- this ain't too great in speech (12)
DISKS	Kids displaced carcass' tail and parts of spinal column (5)
DISLOYALLY	Unfaithfully dally about island; look at Syria's leader (10)
DISMANTLE	Rip apart and mostly reject old ballplayer (9)
DISMANTLE	Tear down and show a lack of respect for Mickey (9)
DISOBEY	Said I, "So be yourself" (suppressing, "be defiant!") (7)
DISPATCH	Send off communique (8)
DISPATCHES	Reports on health resort through channels (10)
DISPENSER	Dotty rides around corrals with someone who passes out (9)
DISPLAY	Ms. Riggs' drama: "Present" (7)
DISRUPTED	Impeded, spurt died off (9)
DISSENTED	Took exception to insult and discharged editor (9)
DISSENTER	Tiredness ruined Supreme Court Justice in minority (9)
DISSIMILARITIES	Criticize return of timeless limits; Onassis connects things that are different (15)
DISTILL	On the way back, I had to keep calm and concentrate (7)
DISTRUSTED	Didn't believe studs tried reorganizing (10)
DISUSED	Spoke disrespectfully about university being obsolete (7)
DITHERS	Cora acts indecisively (7)
DITTO	Edit tomorrow's features, same as before (5)
DIVA	Review of passionate lead singer (4)
DIVAN	Glamorous performer (a little naughty in bed) (5)
DIVE	Take right from scenic highway for seedy bar (4)
DIVERGENT	Deviant fellow following Esther Williams at times (9)
DIVERGENT	Different guy like Jacques Cousteau? (9)
DIVERSE	Every kind of works revised (7)
DIVES	Plunges about in State's evidence (5)
DIVESTING	Getting rid of joint pain (9)
DIVIDED	"Rent" did encompassing video that hasn't been completed  (7)
DIVINER	More luxurious eatery accommodates six (7)
DO	An affair of Isadora's heart (2)
DOA	Have sex with a corpse in an ambulance  (3)
DOC	Bespectacled dwarf bringing nothing to capital (3)
DOCENTS	Guides produce small change (7)
DOCKING	Bob, in Greg's van, coming to the pier (7)
DOCKS	Atoms split by large zaps (5)
DODO	Idiot Rumsfeld's former group initially ousted (4)
DODOS	Oh, Oh, stepping out of dog messes -- it's for the birds (5)
DOES	Has intercourse with deer, deer? (4)
DOGMA	Doctrine nuts go mad (5)
DOGMA	You believe this bitch? (5)
DOGMAS	Mother's following pet doctrines (6)
DOH	What Homer Simpson yells aloud: "Money!" (3)
DOIN	Dino's crushed ice (2,2)
DOLE	Do the French pay in charity? (4)
DOLEFUL	Sad when stuffed with pineapple brand? (7)
DOLITTLE	Hand out bears on Tuesday to a guy who understands animals (8)
DOLLOP	A certain amount do vote left (6)
DOLLS	Guys' partners perform "Lustful Lips" at beginning of show (5)
DOMAIN	Make effort to get computer address (6)
DOMED	Condemned without love, like the Vatican (5)
DOMINO	Political theory that's held by kingdom in Orient (6)
DONATIONS	Carry out country's acts of philanthropy (9)
DONE	Don Ameche's last letter is finished (4)
DONE	Overheard, poetic clergyman is finished (4)
DONKEYS	Farm animals put on islands (7)
DONNYBROOK	Drunk by noon, dork causing public quarrel (10)
DONSHULA	Football coach puts on dance (3,5)
DONTASKDONTTELL	Old tent, tank sold - new Naval regulation (4,3,4,4)
DONUT	Brand on utilitarian stocking: "Krispy Kreme" (5)
DONUT	Put on University of Texas ring (5)
DOOM	Ruination results from uppity attitude? (4)
DOOMS	Certain deaths caused by swinging moods (5)
DOPE	Take illicit performance-enhancing drugs to successfully complete gym class (4)
DORIC	Column's style is somewhat jaded or iconoclastic (5)
DORIES	Gives out houses or boats (6)
DORITOS	Junk food--its odor?  Stinky (7)
DORMANT	Inactive student housing insect (7)
DORMICE	Place you might see students kill rodents (7)
DOTMATRIX	To Marx, it'd troubled an old printer? (3,6)
DOUBLE	Do lube job for look-alike (6)
DOUBLEENTENDRE	(6 8): RUNS PIQUE (6 3); DELNRTU
DOVETAIL	Temporary military unit maintains love and victory fit together nicely (8)
DOWAGERS	Party with gambling for stately old women (7)
DOWN	Feathers fell (4)
DOWNLOADED	Transferred data from stock exchange index and brutal old dean (10)
DOWNRIGHT	Totally off-the-wall word thing (9)
DOWNTOEARTH	Ever-practical, Mr. Vader keeps own little piggy (4-2-5)
DOWNTURN	Recession makes Democrat run town recklessly (8)
DOZE	Fall asleep if number of jurors won't come to a conclusion (4)
DRABBER	Confederate poet returned with rather less sparkle (7)
DRAFT	Doctor back for a cold one (5)
DRAFTEE	He was called to defend complicated Fed rate (7)
DRAFTIEST	Most cool first date out (9)
DRAGNET	Friday program: "Garden Careers by Troy" (7)
DRAGON	Keep pulling for "Shrek" character (6)
DRAGSTRIP	Slows down before a drive in a fast lane (4,5)
DRAKE	Duck's primary seducer! (5)
DRAMA	"Date an Animal," a show with emotional conflicts (5)
DRAMA	Lawyer grabs butt in play (5)
DRAMA	Play doctor before physicians' organization (5)
DRAMA	Play with Doc and Doc's group (5)
DRAMA	Small drink before a play (5)
DRAMS	Plays without a wee measure of drinks (5)
DRAPOEL	Hole put in curtain by large cat (7)
DRASTIC	Outrageous letters of Alexandra Stickler (7)
DRASTICMEASURES	"Bananas" star curses media, means to deal with emergency (7,8)
